Part,Value,Device,Package,Description
LED1,,LED3MM,LED3MM,LED
R1,,R-EU_0207/10,0207/10,RESISTOR
RESET_DIGISPARK,DIP_KEY,DIP_KEY,B3F-10XX,
RESET_PRO,DIP_KEY,DIP_KEY,B3F-10XX,
U$1,PROMICRO,PROMICRO,SPARKFUN_PRO_MICRO,
U$2,DIGISPARK,DIGISPARK,DIGISPARK,
U$3,RBS040210,RBS040210,RBS040210,https://akizukidenshi.com/catalog/g/gP-11714/
U$4,RBS040210,RBS040210,RBS040210,https://akizukidenshi.com/catalog/g/gP-11714/
U$5,SW200D,SW200D,SW200D,
U$6,SW200D,SW200D,SW200D,
U$7,DIGISPARK_USB,DIGISPARK_USB,DIGISPARK_USB,
